datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2020-09-06,2.6119,3.18,2.2575,3.0941,2898758.91,1599436799999,7940868.46326200,24763,1441533.05000000,3961686.65227000,0
2020-09-07,3.0785,3.1983,2.38,2.9237,2680083.17,1599523199999,7269853.90869400,20763,1237117.42000000,3357706.94438000,0
2020-09-08,2.9237,2.9499,2.4,2.468,1626389.7,1599609599999,4163484.17494300,17527,594993.20000000,1526237.01692200,0
2020-09-09,2.468,3.8838,2.3821,3.6001,6691121.99,1599695999999,22147440.58973700,54509,3343480.12000000,11062516.96911100,0
2020-09-10,3.6107,3.875,3.304,3.4761,4356890.66,1599782399999,15482088.38192500,47297,2075976.54000000,7395169.70058900,0
2020-09-11,3.4707,3.5036,3.0316,3.3965,2227636.94,1599868799999,7208721.22424400,23696,905328.95000000,2940779.29798300,0
2020-09-12,3.3967,3.47,3.1494,3.3316,1161542.47,1599955199999,3845112.02572700,14476,555663.30000000,1842564.18066800,0
2020-09-13,3.3386,3.47,2.9838,3.2603,2024779.41,1600041599999,6528375.66092300,27152,871294.02000000,2819238.84931700,0
2020-09-14,3.2656,3.5393,3.0752,3.2641,3351649.61,1600127999999,11170955.41711900,53540,1671479.97000000,5589901.33057100,0
2020-09-15,3.264,3.3249,2.8955,2.9295,1698391.09,1600214399999,5332430.83456700,28139,671971.67000000,2114488.25667600,0
2020-09-16,2.9288,2.9293,2.4282,2.5327,4886766.99,1600300799999,12739762.36306600,52638,1895992.58000000,4948031.68085500,0
2020-09-17,2.5376,2.9389,2.36,2.8829,4635747.31,1600387199999,12078123.51430100,50561,2337316.53000000,6112225.62423800,0
2020-09-18,2.883,3.16,2.726,3.1144,4169446.23,1600473599999,12294993.32324400,49597,2127089.20000000,6283795.83696700,0
2020-09-19,3.1084,3.2545,2.9564,3.031,1586219.86,1600559999999,4884899.26567600,23707,799968.39000000,2467075.79740500,0
2020-09-20,3.0216,3.0319,2.7,2.8628,1456628.58,1600646399999,4183733.72040400,19133,620427.02000000,1786109.98779300,0
2020-09-21,2.8628,3.0397,2.4689,2.7672,3567879.31,1600732799999,9634412.01778900,45379,1721714.67000000,4642466.95558300,0
2020-09-22,2.7571,3.0107,2.65,2.9082,3416786.33,1600819199999,9798314.27344100,46943,1734855.56000000,4980218.64873400,0
2020-09-23,2.9184,3.09,2.7001,2.8548,2762150.96,1600905599999,7980465.49794600,34471,1405077.92000000,4075042.88849200,0
2020-09-24,2.855,3.2571,2.7804,3.1433,2983701.04,1600991999999,9088676.27259000,37434,1621531.93000000,4936106.60127200,0
2020-09-25,3.1409,3.2766,2.9003,3.1937,2447843.22,1601078399999,7516842.11004600,30447,1162454.55000000,3567954.00070400,0
2020-09-26,3.185,3.25,3.03,3.1287,1357018.72,1601164799999,4232119.88569200,19471,645639.17000000,2016567.26992100,0
2020-09-27,3.1292,3.1857,2.9819,3.1578,983815.86,1601251199999,3052809.12141000,13547,495458.24000000,1540901.26329700,0
2020-09-28,3.1557,3.2109,2.908,2.9599,1306134.15,1601337599999,3987560.49731300,17608,494804.02000000,1516284.66651600,0
2020-09-29,2.9549,3.027,2.8735,2.9505,950875.56,1601423999999,2801168.41980200,12547,438369.42000000,1290439.84722800,0
2020-09-30,2.9447,2.9838,2.8228,2.8967,722757.83,1601510399999,2099223.90076100,9631,313432.53000000,911664.63305100,0
2020-10-01,2.8967,2.9889,2.65,2.8669,1373061.59,1601596799999,3893342.82485000,16798,595327.14000000,1692229.47486100,0
2020-10-02,2.8667,2.8873,2.42,2.6232,2788493.11,1601683199999,7275003.79886200,26532,1307596.33000000,3422122.45603200,0
2020-10-03,2.6231,2.6708,2.5356,2.5439,547025.23,1601769599999,1435302.23882100,6342,251124.92000000,659738.45567500,0
2020-10-04,2.542,2.5898,2.42,2.5202,765399.21,1601855999999,1911132.61622300,8690,330605.85000000,826124.52253300,0
2020-10-05,2.5181,2.683,2.4561,2.6522,912587.17,1601942399999,2349406.46224900,10397,490424.25000000,1260469.59640200,0
2020-10-06,2.6486,2.6604,2.13,2.174,1784025.33,1602028799999,4217794.48458800,15210,780760.97000000,1849835.00880000,0
2020-10-07,2.1721,2.4083,2.081,2.3005,2087951.2,1602115199999,4681013.95215100,14780,955202.82000000,2146601.93211000,0
2020-10-08,2.3001,2.4569,2.0123,2.3638,2759189.94,1602201599999,6159554.61865500,22492,1422001.18000000,3185687.42139400,0
2020-10-09,2.3686,2.63,2.303,2.5314,1878523.79,1602287999999,4668501.51998600,19298,931717.29000000,2313924.54719500,0
2020-10-10,2.5274,2.6056,2.3873,2.3999,1278940.27,1602374399999,3208987.72096100,13855,539604.44000000,1353174.46227300,0
2020-10-11,2.3988,2.4607,2.3401,2.4227,898764.08,1602460799999,2160332.63194100,9182,421043.55000000,1012506.15096400,0
2020-10-12,2.4228,2.7044,2.4132,2.5836,2155387.01,1602547199999,5542124.89453000,20035,1220066.62000000,3135514.50216100,0
2020-10-13,2.5826,2.5867,2.336,2.4062,1951031.1,1602633599999,4782866.49765300,19501,838059.60000000,2057570.90135700,0
2020-10-14,2.4061,2.4424,2.2331,2.3107,1125385.85,1602719999999,2631151.89321800,11891,470550.03000000,1104041.84461900,0
2020-10-15,2.3108,2.3485,2.1932,2.2682,754909.09,1602806399999,1711559.85629500,8038,291515.98000000,662245.73270000,0
