datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2017-10-04,292.47,297.97,288.0,291.99,4014.88792,1507161599999,1176260.21718690,7233,2030.79500000,596758.05688080,91864.85861871
2017-10-05,290.0,297.44,285.53,294.81,3412.39016,1507247999999,994768.49540650,6125,1684.82069000,492521.57928530,93082.83738569
2017-10-06,294.78,310.8,293.78,310.8,3541.02359,1507334399999,1063779.35392510,6064,1965.17959000,590729.76186070,94556.00390113
2017-10-07,309.9,318.5,303.6,311.01,2165.79076,1507420799999,672026.66853280,4289,1031.34817000,320575.64111220,95683.00059248
2017-10-08,311.08,317.07,309.0,311.07,2960.93198,1507507199999,923989.78755400,6247,1069.23508000,334539.35701200,96050.49409454
2017-10-09,311.13,312.13,286.65,297.19,4885.37863,1507593599999,1462524.62495310,8680,1575.93338000,472759.58521280,96362.85524303
2017-10-10,297.35,308.56,293.0,298.64,6749.27468,1507679999999,2028540.47292730,9392,3979.86360000,1200692.03892990,99012.02097600
2017-10-11,300.88,305.5,298.02,304.01,3724.6863,1507766399999,1125331.50335720,4079,1923.79902000,581977.29782890,100696.50159612
2017-10-12,304.01,310.0,302.71,303.99,7827.75596,1507852799999,2397065.16336710,4956,3436.20226000,1053317.97155720,98285.65411766
2017-10-13,303.52,353.96,297.0,337.96,17925.36585,1507939199999,5832987.25591010,9898,7538.17104000,2469530.26295960,108307.77799359
2017-10-14,337.96,349.8,335.0,342.0,7731.96469,1508025599999,2655702.11454550,5703,3790.50687000,1304246.79199270,111142.48347250
2017-10-15,342.0,348.0,316.17,337.96,10011.34708,1508111999999,3326752.59711660,6822,4957.44824000,1652285.72199570,111022.00575221
2017-10-16,337.5,354.0,332.78,335.19,8663.47097,1508198399999,2956522.04178740,6586,4424.03339000,1511172.91294010,113985.11169272
2017-10-17,335.18,336.58,312.65,315.19,8146.74356,1508284799999,2638150.88929040,6837,3297.06736000,1069520.41625130,121257.73258030
2017-10-18,315.19,318.0,284.68,309.7,12908.0454,1508371199999,3915770.15446750,9801,6592.08304000,2005598.31414890,123470.94593511
2017-10-19,311.52,315.0,300.0,308.66,8678.74739,1508457599999,2675399.86024250,6769,4110.58984000,1269506.24815890,124127.45839721
2017-10-20,308.66,311.18,302.0,304.51,8739.31764,1508543999999,2667391.89975510,6812,3042.73881000,932164.50437130,123882.13026971
2017-10-21,304.51,305.34,290.0,298.94,8591.63121,1508630399999,2558677.41154280,6343,4286.76965000,1278052.92831190,123127.52882388
2017-10-22,298.99,306.99,290.0,293.79,7173.06893,1508716799999,2120546.54702250,5828,3305.51785000,977321.14309910,121760.76341013
